"","geneID"
"1","SVE_2005100"
"2","SVE_1736400"
"3","SVE_0867700"
"4","SVE_1774700"
"5","SVE_1903200"
"6","SVE_1653100"
"7","SVE_0351700"
"8","SVE_0227400"
"9","SVE_1804800"
"10","SVE_1159100"
"11","SVE_0000182450"
"12","SVE_0522400"
"13","SVE_0452900"
"14","SVE_0047600"
"15","SVE_1014900"
"16","SVE_1077000"
"17","SVE_0814400"
"18","SVE_0966300"
"19","SVE_0533700"
"20","SVE_0119200"
"21","SVE_0137300"
"22","SVE_0209400"
"23","SVE_0066500"
"24","SVE_0001000200"
"25","SVE_1982500"
"26","SVE_1628000"
"27","SVE_1617200"
"28","SVE_0144600"
"29","SVE_0823900"
"30","SVE_0641300"
"31","SVE_0528500"
"32","SVE_1771600"
"33","SVE_0779200"
"34","SVE_0328500"
"35","SVE_1895500"
"36","SVE_0794600"
"37","SVE_1812700"
"38","SVE_0867800"
"39","SVE_1341900"
"40","SVE_0558900"
"41","SVE_0703900"
"42","SVE_0526300"
"43","SVE_1866000"
"44","SVE_0481500"
"45","SVE_0450600"
"46","SVE_2023700"
"47","SVE_2025500"
"48","SVE_0704400"
"49","SVE_1964500"
"50","SVE_0506800"
"51","SVE_0525400"
"52","SVE_0306200"
"53","SVE_0275000"
"54","SVE_0982100"
"55","SVE_0340700"
"56","SVE_0267700"
"57","SVE_1696200"
"58","SVE_0581800"
"59","SVE_0040500"
"60","SVE_0481600"
"61","SVE_0533100"
"62","SVE_0056400"
"63","SVE_1841400"
"64","SVE_0448200"
"65","SVE_0041600"
"66","SVE_0357200"
"67","SVE_1015700"
"68","SVE_0470700"
"69","SVE_0053100"
"70","SVE_0079900"
"71","SVE_0187200"
"72","SVE_0278200"
"73","SVE_0105400"
"74","SVE_0000542450"
"75","SVE_0145600"
"76","SVE_0715000"
"77","SVE_1653000"
"78","SVE_0525300"
"79","SVE_0367200"
"80","SVE_1843100"
"81","SVE_0867600"
"82","SVE_1716400"
"83","SVE_1971400"
"84","SVE_0819900"
"85","SVE_0436000"
"86","SVE_0940100"
"87","SVE_0029100"
"88","SVE_1938900"
"89","SVE_0254300"
"90","SVE_0995800"
"91","SVE_1897900"
"92","SVE_0694700"
"93","SVE_1636400"
"94","SVE_1949600"
"95","SVE_0441100"
"96","SVE_1021400"
"97","SVE_1632600"
"98","SVE_0577600"
"99","SVE_0855300"
"100","SVE_0864200"
"101","SVE_0786800"
"102","SVE_1621600"
"103","SVE_0340600"
"104","SVE_1663600"
"105","SVE_0615900"
"106","SVE_0590600"
"107","SVE_0834400"
"108","SVE_0000699050"
"109","SVE_0451600"
"110","SVE_0817300"
"111","SVE_0825900"
"112","SVE_1743200"
"113","SVE_0446100"
"114","SVE_0936800"
"115","SVE_0178900"
"116","SVE_1077600"
"117","SVE_0053500"
"118","SVE_0660600"
"119","SVE_1857500"
"120","SVE_1714300"
"121","SVE_1997900"
"122","SVE_2009900"
"123","SVE_0158700"
"124","SVE_0018500"
"125","SVE_0965900"
"126","SVE_0283900"
"127","SVE_0992300"
"128","SVE_0323900"
"129","SVE_0946300"
"130","SVE_0345200"
"131","SVE_1586200"
"132","SVE_0579400"
"133","SVE_0972100"
"134","SVE_1895800"
"135","SVE_1712500"
"136","SVE_1831300"
"137","SVE_1812800"
"138","SVE_0414300"
"139","SVE_0300800"
"140","SVE_0219100"
"141","SVE_0566800"
"142","SVE_1602100"
"143","SVE_0889100"
"144","SVE_1616700"
"145","SVE_1736700"
"146","SVE_1774900"
"147","SVE_0834800"
"148","SVE_1932000"
"149","SVE_0573300"
"150","SVE_1041000"
"151","SVE_1763000"
"152","SVE_0119700"
"153","SVE_0608300"
"154","SVE_0825300"
"155","SVE_0559800"
"156","SVE_1722600"
"157","SVE_1648800"
"158","SVE_1932300"
"159","SVE_0505600"
"160","SVE_1648100"
"161","SVE_0345400"
"162","SVE_1846100"
"163","SVE_0493300"
"164","SVE_0889000"
"165","SVE_1622100"
"166","SVE_1058000"
"167","SVE_1923300"
"168","SVE_0770800"
"169","SVE_0003800"
"170","SVE_0359900"
"171","SVE_1766300"
"172","SVE_1846300"
"173","SVE_0285700"
"174","SVE_0473400"
"175","SVE_0102000"
"176","SVE_1151500"
"177","SVE_0143800"
"178","SVE_1823600"
"179","SVE_0480100"
"180","SVE_1884900"
"181","SVE_0633200"
"182","SVE_1900600"
"183","SVE_0942700"
"184","SVE_1618900"
"185","SVE_0500100"
"186","SVE_1583900"
"187","SVE_0597000"
"188","SVE_0317300"
"189","SVE_0942800"
"190","SVE_0575200"
"191","SVE_1812400"
"192","SVE_0730900"
"193","SVE_0000661550"
"194","SVE_1616600"
"195","SVE_1727700"
"196","SVE_0463100"
"197","SVE_0572700"
"198","SVE_0688300"
"199","SVE_0485400"
"200","SVE_0100800"
"201","SVE_0815400"
"202","SVE_1036100"
"203","SVE_1870300"
"204","SVE_0417100"
"205","SVE_0258400"
"206","SVE_1654200"
"207","SVE_1318000"
"208","SVE_1856000"
"209","SVE_1005800"
"210","SVE_0004500"
"211","SVE_1699500"
"212","SVE_1251500"
"213","SVE_0328700"
"214","SVE_0223300"
"215","SVE_0356300"
"216","SVE_1076000"
"217","SVE_0911500"
"218","SVE_1683700"
"219","SVE_0424400"
"220","SVE_0365600"
"221","SVE_1678100"
"222","SVE_0021500"
"223","SVE_0364400"
"224","SVE_0555800"
"225","SVE_0634900"
"226","SVE_0946500"
"227","SVE_0113100"
"228","SVE_0131700"
"229","SVE_0179000"
"230","SVE_0020900"
"231","SVE_0123700"
"232","SVE_0815500"
"233","SVE_1044600"
"234","SVE_0809400"
"235","SVE_0346900"
"236","SVE_0983000"
"237","SVE_0890000"
"238","SVE_0350700"
"239","SVE_0280000"
"240","SVE_0310900"
"241","SVE_0728800"
"242","SVE_0580800"
"243","SVE_1985300"
"244","SVE_1701400"
"245","SVE_0717100"
"246","SVE_0290500"
"247","SVE_1759800"
"248","SVE_0789800"
"249","SVE_0536600"
"250","SVE_1573500"
"251","SVE_0854900"
"252","SVE_0095600"
"253","SVE_0268800"
"254","SVE_0521800"
"255","SVE_1665800"
"256","SVE_0040700"
"257","SVE_1603700"
"258","SVE_0322500"
"259","SVE_0101400"
"260","SVE_0024800"
"261","SVE_0909300"
"262","SVE_1453100"
"263","SVE_1087500"
"264","SVE_1118100"
"265","SVE_0521400"
"266","SVE_1735800"
"267","SVE_1980100"
"268","SVE_0327300"
"269","SVE_0873400"
"270","SVE_0071400"
"271","SVE_1902500"
"272","SVE_1860200"
"273","SVE_0024100"
"274","SVE_0978300"
"275","SVE_1831900"
"276","SVE_0866200"
"277","SVE_0248000"
"278","SVE_1606400"
"279","SVE_0187700"
"280","SVE_1417700"
"281","SVE_0623100"
"282","SVE_0936600"
"283","SVE_0879000"
"284","SVE_0569300"
"285","SVE_1286400"
"286","SVE_0983800"
"287","SVE_1577600"
"288","SVE_1011300"
"289","SVE_1884000"
"290","SVE_1888300"
"291","SVE_1005200"
"292","SVE_1880400"
"293","SVE_0311000"
"294","SVE_0995700"
"295","SVE_1616500"
"296","SVE_1242500"
"297","SVE_0023600"
"298","SVE_0888000"
"299","SVE_0238400"
"300","SVE_1820000"
"301","SVE_1275600"
"302","SVE_1077200"
"303","SVE_1019500"
"304","SVE_1222500"
"305","SVE_0949900"
"306","SVE_0706600"
"307","SVE_0944800"
"308","SVE_1621000"
"309","SVE_1728100"
"310","SVE_0726500"
"311","SVE_1967600"
"312","SVE_1617300"
"313","SVE_1622700"
"314","SVE_0395700"
"315","SVE_1582400"
"316","SVE_0012800"
"317","SVE_0107900"
"318","SVE_1163300"
"319","SVE_1136200"
"320","SVE_1787400"
"321","SVE_1624900"
"322","SVE_0754300"
"323","SVE_1711000"
"324","SVE_0637800"
"325","SVE_0013400"
"326","SVE_0076400"
"327","SVE_0726700"
"328","SVE_0228000"
"329","SVE_0157600"
"330","SVE_0867500"
"331","SVE_1753800"
"332","SVE_0940500"
"333","SVE_1696600"
"334","SVE_0973200"
"335","SVE_1499600"
"336","SVE_1703800"
"337","SVE_0519800"
"338","SVE_0000100"
"339","SVE_0941300"
"340","SVE_1746400"
"341","SVE_0876800"
"342","SVE_1034400"
"343","SVE_1867200"
"344","SVE_0324100"
"345","SVE_1644800"
"346","SVE_0295400"
"347","SVE_1978900"
"348","SVE_0202100"
"349","SVE_2029400"
"350","SVE_0360900"
"351","SVE_0662400"
"352","SVE_1672800"
"353","SVE_1844100"
"354","SVE_0290800"
"355","SVE_1759100"
"356","SVE_0876900"
"357","SVE_0668400"
"358","SVE_0262600"
"359","SVE_1004000"
"360","SVE_0249000"
"361","SVE_1673400"
"362","SVE_0657200"
"363","SVE_0093200"
"364","SVE_1906700"
"365","SVE_0405800"
"366","SVE_1154500"
"367","SVE_0474200"
"368","SVE_1653600"
"369","SVE_0298900"
"370","SVE_0381700"
"371","SVE_1676400"
"372","SVE_0408300"
"373","SVE_0965700"
"374","SVE_0522700"
"375","SVE_1135600"
"376","SVE_0812800"
"377","SVE_1884500"
"378","SVE_0674700"
"379","SVE_1892300"
"380","SVE_1977900"
"381","SVE_0551500"
"382","SVE_0895500"
"383","SVE_0050100"
"384","SVE_1120700"
"385","SVE_0975300"
"386","SVE_0096300"
"387","SVE_1222400"
"388","SVE_0749300"
"389","SVE_0890500"
"390","SVE_1363100"
"391","SVE_0399700"
"392","SVE_1905100"
"393","SVE_0142900"
"394","SVE_0000200"
"395","SVE_0257300"
"396","SVE_0269000"
"397","SVE_0099400"
"398","SVE_1885200"
"399","SVE_0827600"
"400","SVE_1980400"
"401","SVE_1943100"
"402","SVE_0801800"
"403","SVE_1625100"
"404","SVE_0155300"
"405","SVE_1119100"
"406","SVE_2019500"
"407","SVE_0519600"
"408","SVE_1329900"
"409","SVE_0677400"
"410","SVE_1982200"
"411","SVE_0723700"
"412","SVE_0542100"
"413","SVE_0118400"
"414","SVE_0232800"
"415","SVE_0528100"
"416","SVE_0286500"
"417","SVE_0685500"
"418","SVE_0840500"
"419","SVE_0006200"
"420","SVE_1035400"
"421","SVE_0877600"
"422","SVE_0688000"
"423","SVE_1620200"
"424","SVE_0963200"
"425","SVE_1707500"
"426","SVE_1727600"
"427","SVE_0469600"
"428","SVE_1961000"
"429","SVE_1453700"
"430","SVE_1048500"
"431","SVE_2008000"
"432","SVE_1565600"
"433","SVE_0263800"
"434","SVE_1907900"
"435","SVE_1362900"
"436","SVE_0441800"
"437","SVE_0346500"
"438","SVE_0100900"
"439","SVE_0817400"
"440","SVE_0625400"
"441","SVE_1716600"
"442","SVE_0991500"
"443","SVE_0248300"
"444","SVE_0583100"
"445","SVE_0110000"
"446","SVE_1879200"
"447","SVE_0755200"
"448","SVE_0284900"
"449","SVE_1578400"
"450","SVE_0890300"
"451","SVE_0688400"
"452","SVE_1247400"
"453","SVE_0411800"
"454","SVE_1273400"
"455","SVE_0351400"
"456","SVE_1040800"
"457","SVE_0053400"
"458","SVE_1582500"
"459","SVE_1606200"
"460","SVE_0202700"
"461","SVE_0277600"
"462","SVE_1822300"
"463","SVE_1088000"
"464","SVE_0353000"
"465","SVE_1884700"
"466","SVE_0086800"
"467","SVE_1039600"
"468","SVE_0273900"
"469","SVE_0818100"
"470","SVE_0502000"
"471","SVE_0786500"
"472","SVE_1899800"
"473","SVE_1885400"
"474","SVE_1881600"
"475","SVE_2002900"
"476","SVE_0796700"
"477","SVE_1593500"
"478","SVE_1678200"
"479","SVE_0694800"
"480","SVE_1898400"
"481","SVE_0105300"
"482","SVE_0313300"
"483","SVE_2020600"
"484","SVE_1596200"
"485","SVE_0354900"
"486","SVE_1724900"
"487","SVE_0114000"
"488","SVE_1780300"
"489","SVE_1770500"
"490","SVE_1498900"
"491","SVE_1897300"
"492","SVE_0835500"
"493","SVE_0179100"
"494","SVE_1752300"
"495","SVE_1640400"
"496","SVE_1093500"
"497","SVE_1721200"
"498","SVE_0371400"
"499","SVE_1863600"
"500","SVE_0189300"
"501","SVE_0736400"
"502","SVE_0050400"
"503","SVE_1013800"
"504","SVE_0449600"
"505","SVE_1864900"
"506","SVE_1443300"
"507","SVE_0573400"
"508","SVE_0907100"
"509","SVE_2018900"
"510","SVE_0179500"
"511","SVE_2018000"
"512","SVE_0164700"
"513","SVE_1984600"
"514","SVE_0516000"
"515","SVE_0185800"
"516","SVE_0669200"
"517","SVE_0401500"
"518","SVE_0246500"
"519","SVE_1582000"
"520","SVE_1822800"
"521","SVE_0460800"
"522","SVE_0561600"
"523","SVE_0825400"
"524","SVE_0939600"
"525","SVE_1628800"
"526","SVE_2011600"
"527","SVE_0230300"
"528","SVE_0945800"
"529","SVE_0687900"
"530","SVE_0689500"
"531","SVE_0380100"
"532","SVE_0384300"
"533","SVE_0432100"
"534","SVE_0592300"
"535","SVE_1988700"
"536","SVE_0059900"
"537","SVE_0877800"
"538","SVE_0986500"
"539","SVE_1740900"
"540","SVE_0369100"
"541","SVE_0128900"
"542","SVE_0729900"
"543","SVE_1797500"
"544","SVE_1848400"
"545","SVE_0154700"
"546","SVE_1728800"
"547","SVE_0295800"
"548","SVE_0354200"
"549","SVE_0706100"
"550","SVE_1644900"
"551","SVE_0706900"
"552","SVE_1589200"
"553","SVE_0965400"
"554","SVE_1051800"
"555","SVE_0853800"
"556","SVE_0428500"
"557","SVE_1607900"
"558","SVE_0424300"
"559","SVE_1135500"
"560","SVE_0913100"
"561","SVE_0307000"
"562","SVE_0251400"
"563","SVE_0520500"
"564","SVE_0979500"
"565","SVE_1137200"
"566","SVE_0161200"
"567","SVE_1863000"
"568","SVE_1740000"
"569","SVE_0991600"
"570","SVE_1622400"
"571","SVE_1409900"
"572","SVE_1952000"
"573","SVE_0175400"
"574","SVE_0197100"
"575","SVE_0062200"
"576","SVE_0953200"
"577","SVE_0815800"
"578","SVE_1851000"
"579","SVE_1124700"
"580","SVE_0024900"
"581","SVE_0318100"
"582","SVE_1895300"
"583","SVE_0622300"
"584","SVE_0490000"
"585","SVE_0545900"
"586","SVE_0734400"
"587","SVE_1016700"
"588","SVE_0755000"
"589","SVE_1810200"
"590","SVE_1242700"
"591","SVE_0221400"
