"","geneID"
"1","SSTP_0000290000"
"2","SSTP_0000067900"
"3","SSTP_0001151000"
"4","SSTP_0001248700"
"5","SSTP_0000643500"
"6","SSTP_0000911500"
"7","SSTP_0000019400"
"8","SSTP_0000449100"
"9","SSTP_0000552200"
"10","SSTP_0001210700"
"11","SSTP_0001150600"
"12","SSTP_0000537050"
"13","SSTP_0000168300"
"14","SSTP_0000765700"
"15","SSTP_0001179400"
"16","SSTP_0000811600"
"17","SSTP_0001226800"
"18","SSTP_0000261700"
"19","SSTP_0001083100"
"20","SSTP_0001198800"
"21","SSTP_0000548200"
"22","SSTP_0001110800"
"23","SSTP_0000767600"
"24","SSTP_0000525500"
"25","SSTP_0000264100"
"26","SSTP_0001089700"
"27","SSTP_0000216800"
"28","SSTP_0001090000"
"29","SSTP_0000154300"
"30","SSTP_0000605400"
"31","SSTP_0000882400"
"32","SSTP_0000987400"
"33","SSTP_0000050300"
"34","SSTP_0000042700"
"35","SSTP_0001253800"
"36","SSTP_0001114600"
"37","SSTP_0000224000"
"38","SSTP_0000860700"
"39","SSTP_0000172300"
"40","SSTP_0000623600"
"41","SSTP_0000258700"
"42","SSTP_0001091500"
"43","SSTP_0000210400"
"44","SSTP_0000177000"
"45","SSTP_0001060100"
"46","SSTP_0001256000"
"47","SSTP_0000499800"
"48","SSTP_0000679600"
"49","SSTP_0000150800"
"50","SSTP_0000438300"
"51","SSTP_0000441400"
"52","SSTP_0000756400"
"53","SSTP_0001026300"
"54","SSTP_0001247000"
"55","SSTP_0000629300"
"56","SSTP_0000197450"
"57","SSTP_0000238200"
"58","SSTP_0000520100"
"59","SSTP_0000007000"
"60","SSTP_0000756800"
"61","SSTP_0000570400"
"62","SSTP_0000848500"
"63","SSTP_0000860800"
"64","SSTP_0001186300"
"65","SSTP_0000882900"
"66","SSTP_0001023500"
"67","SSTP_0000491300"
"68","SSTP_0000843700"
"69","SSTP_0000660200"
"70","SSTP_0000134400"
"71","SSTP_0001018000"
"72","SSTP_0001093000"
"73","SSTP_0001170300"
"74","SSTP_0000890100"
"75","SSTP_0000866500"
"76","SSTP_0000530400"
"77","SSTP_0000555600"
