"","geneID"
"1","SRAE_1000103200"
"2","SRAE_2000459000"
"3","SRAE_2000463500"
"4","SRAE_1000338900"
"5","SRAE_2000138400"
"6","SRAE_2000115300"
"7","SRAE_2000249700"
"8","SRAE_X000086900"
"9","SRAE_X000144300"
"10","SRAE_X000039300"
"11","SRAE_2000334300"
"12","SRAE_X000050000"
"13","SRAE_1000022300"
"14","SRAE_2000018050"
"15","SRAE_X000110700"
"16","SRAE_X000202100"
"17","SRAE_2000342700"
"18","SRAE_2000079900"
"19","SRAE_2000019000"
"20","SRAE_X000164700"
"21","SRAE_2000503000"
"22","SRAE_2000011900"
"23","SRAE_1000346600"
"24","SRAE_2000147800"
"25","SRAE_2000048450"
"26","SRAE_X000018400"
"27","SRAE_1000058300"
"28","SRAE_X000224800"
"29","SRAE_1000198500"
"30","SRAE_X000214200"
"31","SRAE_X000116000"
"32","SRAE_2000437400"
"33","SRAE_2000434700"
"34","SRAE_2000439500"
"35","SRAE_2000149000"
"36","SRAE_2000145200"
"37","SRAE_X000087200"
"38","SRAE_X000214100"
"39","SRAE_X000029700"
"40","SRAE_X000034300"
"41","SRAE_1000332300"
"42","SRAE_2000174400"
"43","SRAE_0000048100"
"44","SRAE_2000126900"
"45","SRAE_2000098100"
"46","SRAE_X000108600"
"47","SRAE_2000118800"
"48","SRAE_1000159100"
"49","SRAE_2000056800"
"50","SRAE_X000119600"
"51","SRAE_2000171500"
"52","SRAE_1000136500"
"53","SRAE_X000123500"
"54","SRAE_X000225800"
"55","SRAE_1000098100"
"56","SRAE_2000507900"
"57","SRAE_1000340700"
"58","SRAE_2000475200"
"59","SRAE_2000451700"
"60","SRAE_0000042000"
"61","SRAE_2000428600"
"62","SRAE_1000315300"
"63","SRAE_X000104200"
"64","SRAE_X000177900"
"65","SRAE_X000218200"
"66","SRAE_2000001900"
"67","SRAE_2000379150"
"68","SRAE_0000011100"
"69","SRAE_1000115300"
"70","SRAE_2000027000"
"71","SRAE_X000052800"
"72","SRAE_0000047800"
"73","SRAE_2000476700"
"74","SRAE_X000167200"
"75","SRAE_1000279000"
"76","SRAE_1000074900"
"77","SRAE_X000217900"
"78","SRAE_2000157400"
"79","SRAE_2000506400"
"80","SRAE_X000257300"
"81","SRAE_1000020900"
"82","SRAE_2000325000"
"83","SRAE_2000046500"
"84","SRAE_1000099100"
"85","SRAE_X000071300"
"86","SRAE_1000253500"
"87","SRAE_1000287300"
"88","SRAE_1000232100"
"89","SRAE_2000277800"
"90","SRAE_X000096500"
"91","SRAE_X000031400"
"92","SRAE_1000258200"
"93","SRAE_X000106600"
"94","SRAE_1000181300"
"95","SRAE_2000476800"
"96","SRAE_1000016400"
"97","SRAE_1000170700"
"98","SRAE_2000508300"
"99","SRAE_X000135300"
"100","SRAE_2000390400"
"101","SRAE_2000432000"
"102","SRAE_1000276100"
"103","SRAE_X000165500"
"104","SRAE_X000085700"
"105","SRAE_2000334600"
"106","SRAE_2000231100"
"107","SRAE_1000265900"
"108","SRAE_X000052700"
"109","SRAE_2000397400"
"110","SRAE_2000084300"
"111","SRAE_2000431200"
"112","SRAE_1000238800"
"113","SRAE_1000233700"
"114","SRAE_1000188900"
"115","SRAE_1000051900"
"116","SRAE_2000515500"
"117","SRAE_1000356800"
"118","SRAE_X000045800"
"119","SRAE_X000100400"
"120","SRAE_2000400600"
"121","SRAE_0000046000"
"122","SRAE_2000349800"
"123","SRAE_1000055000"
"124","SRAE_X000003700"
"125","SRAE_2000037100"
"126","SRAE_X000117900"
"127","SRAE_2000415700"
"128","SRAE_2000522500"
"129","SRAE_0000529600"
"130","SRAE_2000396600"
"131","SRAE_X000096000"
"132","SRAE_X000020000"
"133","SRAE_X000039200"
"134","SRAE_1000020600"
"135","SRAE_1000022400"
"136","SRAE_1000298500"
"137","SRAE_X000121000"
"138","SRAE_2000054000"
"139","SRAE_X000082900"
"140","SRAE_X000175600"
"141","SRAE_2000230600"
"142","SRAE_X000198000"
"143","SRAE_1000087700"
"144","SRAE_2000486900"
"145","SRAE_X000206300"
"146","SRAE_X000028200"
"147","SRAE_1000062100"
"148","SRAE_2000466700"
"149","SRAE_X000008400"
"150","SRAE_1000260600"
"151","SRAE_2000385900"
"152","SRAE_2000100300"
"153","SRAE_1000005000"
"154","SRAE_2000460900"
"155","SRAE_X000120200"
"156","SRAE_X000049700"
"157","SRAE_X000036800"
"158","SRAE_2000335200"
"159","SRAE_X000043600"
"160","SRAE_2000270050"
"161","SRAE_1000295400"
"162","SRAE_1000241200"
"163","SRAE_X000229600"
"164","SRAE_1000137000"
"165","SRAE_2000323200"
"166","SRAE_X000056600"
"167","SRAE_2000371800"
"168","SRAE_2000088300"
"169","SRAE_2000333700"
"170","SRAE_X000191500"
"171","SRAE_X000108700"
"172","SRAE_2000039300"
"173","SRAE_1000313900"
"174","SRAE_1000094200"
"175","SRAE_X000204800"
"176","SRAE_X000227900"
"177","SRAE_2000351700"
"178","SRAE_X000134100"
"179","SRAE_2000002100"
"180","SRAE_0000010500"
"181","SRAE_2000256800"
"182","SRAE_1000011400"
"183","SRAE_2000503800"
"184","SRAE_X000156600"
"185","SRAE_1000321800"
"186","SRAE_X000077600"
"187","SRAE_2000276800"
"188","SRAE_X000162950"
"189","SRAE_2000347300"
